inlf,hourstotalin1975,kidslt6,kidsge6,age,educ,wage,repwage,husage,huseduc,huswage,motheduc,fatheduc,unem,city,exper
1,1610,1,0,32,12,3.354000092,2.650000095,34,12,4.028800011,12,7,5,0,14
1,1656,0,2,30,12,1.388900042,2.650000095,30,9,8.441599846,7,7,11,1,5
1,1980,1,3,35,12,4.545499802,4.039999962,40,12,3.580699921,12,7,5,0,15
1,456,0,3,34,12,1.096500039,3.25,53,10,3.541699886,7,7,5,0,6
1,1568,1,2,31,14,4.591800213,3.599999905,32,12,10,12,14,9.5,1,7
1,2032,0,0,54,12,4.742099762,4.699999809,57,11,6.710599899,14,7,7.5,1,33
1,1440,0,2,37,16,8.333299637,5.949999809,37,12,3.427700043,14,7,5,0,11
1,1020,0,0,54,12,7.843100071,9.979999542,53,8,2.548500061,3,3,5,0,35
1,1458,0,2,48,12,2.126199961,0,52,4,4.220600128,7,7,3,0,24
1,1600,0,2,39,12,4.6875,4.150000095,43,12,5.714300156,7,7,5,0,21
1,1969,0,1,33,12,4.063000202,4.300000191,34,12,9.795900345,12,3,5,0,15
1,1960,0,1,42,11,4.591800213,4.579999924,47,14,8,14,7,5,0,14
1,240,1,2,30,12,2.083300114,0,33,16,5.30039978,16,16,5,0,0
1,997,0,2,43,12,2.266799927,3.5,46,12,4.341300011,10,10,7.5,1,14
1,1848,0,1,43,10,3.679699898,3.380000114,45,17,10.86999989,7,7,7.5,1,6
1,1224,0,3,35,11,1.347200036,0,38,12,9.149900436,16,10,7.5,1,9
1,1400,0,2,43,12,3.214299917,4,45,12,6.122399807,10,7,7.5,1,20
1,640,0,5,39,12,5.175000191,2.25,40,12,6.149799824,12,12,7.5,1,6
1,2000,0,0,45,12,2,2.299999952,51,11,6.916999817,7,7,5,1,23
1,1324,0,4,35,12,,3.940000057,40,10,4.710299969,12,7,5,0,9
1,2215,0,2,42,16,3.505199909,3.299999952,48,16,3.131000042,10,16,7.5,0,5
1,1680,0,0,30,12,3.571399927,3.799999952,35,12,4,12,10,3,0,11
1,1600,0,0,48,13,3.25,3.25999999,52,17,7.222700119,7,3,5,1,18
1,800,0,0,45,12,3.25,2.200000048,53,17,7.965199947,7,7,11,0,15
1,1955,1,1,31,12,2.154500008,2.299999952,31,12,4.088399887,12,7,5,1,4
1,660,0,2,43,17,3.787899971,0,43,17,14.18099976,16,14,9.5,1,21
1,525,0,0,59,12,4,3.180000067,53,16,6.535900116,3,7,9.5,1,31
1,1904,0,3,32,12,4.726900101,6.070000172,33,13,8.5,3,7,11,1,9
1,1516,1,0,31,17,7.255899906,6,30,17,6.276199818,12,12,5,0,7
1,346,0,0,42,12,5.867099762,6.389999866,47,10,5.208300114,12,12,9.5,0,7
1,1040,0,0,50,11,1.538499951,0,53,10,2.782099962,7,7,7.5,1,32
1,732,0,0,59,16,2.459000111,2.5,57,17,4.910699844,3,3,14,1,11
1,1880,0,2,36,13,5.851099968,5.199999809,35,13,5.866899967,12,10,7.5,0,16
1,1680,0,1,51,12,3.571399927,3.289999962,50,8,7.519999981,7,14,5,1,14
1,2081,0,3,45,16,3.806799889,4.190000057,47,17,7.54489994,12,12,5,1,27
1,690,0,1,42,11,2.463799953,0,44,8,5.538000107,10,3,7.5,0,0
1,4210,0,0,46,12,2.375299931,4.630000114,49,16,6.923099995,3,3,11,1,17
1,2205,0,1,46,10,4.535099983,4.550000191,52,12,5,10,3,11,0,28
1,1952,0,0,51,14,5.618299961,5.599999905,58,12,7.306399822,7,7,14,0,24
1,1302,0,0,30,17,14.63099957,9.529999733,30,17,11.21800041,14,17,5,1,11
1,112,1,2,30,12,2.678600073,0,33,16,3.846199989,12,12,3,0,1
1,893,0,0,57,12,3.919399977,3.5,58,12,5.836599827,9,9,7.5,1,14
1,583,1,2,31,16,2.572900057,9.979999542,34,16,13.72500038,14,16,9.5,1,6
1,480,0,2,48,12,,4.650000095,48,8,6.349299908,3,3,5,0,10
1,1900,0,3,30,12,,2.230000019,32,12,5.252799988,12,7,5,0,6
1,576,0,2,34,12,3.472199917,3.839999914,33,12,1.307500005,12,7,3,0,4
1,2056,0,2,48,16,2.01609993,0,53,16,2.799799919,14,16,5,1,10
1,1984,0,0,45,12,4.57159996,4.820000172,47,11,2.696099997,10,10,11,0,22
1,2640,0,0,51,12,2.272700071,0,50,13,7.568799973,7,7,3,0,16
1,240,0,2,30,12,2.637500048,0,37,12,3.407700062,12,7,14,0,6
1,1173,0,1,46,12,2.289900064,2.5,46,12,6.540100098,7,7,11,1,12
1,3640,0,0,58,12,1.098899961,0,58,12,7.213900089,7,3,9.5,1,32
1,340,0,8,37,12,1.176499963,0,40,10,6.273200035,12,7,5,0,15
1,500,0,0,52,8,1.600000024,0,54,11,5.882400036,7,7,5,1,17
1,1599,0,0,52,10,1.876199961,2.799999952,47,4,3.809499979,7,3,7.5,0,34
1,1830,0,0,31,16,4.043700218,4.199999809,35,14,6.377600193,12,12,7.5,1,9
1,1920,0,0,55,14,9.635399818,8.75,55,15,6.045300007,7,7,14,1,37
1,2052,0,0,34,17,8.04090023,8.25,33,17,8.811900139,17,17,7.5,1,10
1,2312,0,0,55,14,4.598999977,5.579999924,56,16,8.87650013,17,7,11,1,35
1,196,0,2,39,12,2.14289999,2.5,39,12,3.342000008,12,7,14,1,6
1,2500,0,3,40,14,4.400000095,5.5,42,13,3.183599949,14,3,7.5,0,19
1,1980,0,4,43,12,3.535399914,3.75,47,12,6.914899826,12,12,9.5,1,10
1,1840,0,0,48,8,2.717400074,4.800000191,56,8,5.514699936,7,7,14,1,11
1,320,0,0,47,12,6.25,6.25,47,12,5.280799866,7,7,9.5,1,15
1,419,0,4,41,12,11.93299961,6.300000191,44,12,3.200000048,7,7,5,1,12
1,1880,0,0,36,8,3.593100071,3.75,37,12,5.879099846,12,12,7.5,0,12
1,72,0,2,46,17,6.944399834,0,48,17,6.25,12,16,7.5,0,14
1,120,0,0,34,12,2.916699886,0,51,8,7.48789978,12,7,5,1,11
1,1885,0,3,41,12,3.076900005,2.900000095,48,8,6.976699829,7,7,5,1,9
1,240,0,1,51,12,3.75,0,54,10,8,12,7,5,0,24
1,1729,0,0,33,12,5.725900173,4.760000229,34,16,4.131899834,12,12,7.5,1,12
1,1850,0,0,52,12,3.675699949,3.400000095,53,12,14.47599983,10,10,7.5,1,13
1,2033,0,0,58,9,5.164800167,4.320000172,53,7,5.734300137,7,9,7.5,1,29
1,608,2,4,34,10,8.22369957,3,38,9,3.374200106,0,0,7.5,1,11
1,1153,0,1,31,12,4.336500168,4.519999981,35,12,1.833299994,7,10,7.5,1,13
1,2208,0,1,48,12,4.981900215,5.309999943,52,12,5.602499962,12,14,5,1,19
1,252,0,2,32,12,0.35710001,0,32,12,4.297500134,7,7,3,0,2
1,337,0,0,49,17,2.967400074,0,47,17,3.916100025,3,3,14,1,24
1,90,2,2,32,15,1,0,31,14,4.87869978,10,12,7.5,1,9
1,1174,0,0,58,12,2.555399895,4.869999886,59,16,9.240200043,7,12,7.5,1,6
1,372,0,0,50,6,0.860199988,2.25,42,12,6.651899815,12,7,7.5,1,22
1,30,0,0,60,14,1,0,51,12,4.62169981,12,17,9.5,0,30
1,1800,0,1,50,12,2.926100016,0,55,11,9.974100113,7,3,7.5,1,10
1,282,0,0,56,14,3.546099901,2.5,57,17,20.91799927,7,7,9.5,1,6
1,720,0,0,51,9,1.626399994,2.200000048,55,8,1.940000057,7,7,3,0,29
1,1440,0,1,54,17,8.333299637,6,58,17,8.835100174,7,12,5,1,29
1,2100,0,0,59,13,3.095200062,2.950000048,52,15,4.666699886,7,7,5,1,36
1,1000,0,2,46,9,2.700000048,2.349999905,47,10,5.189400196,7,7,5,1,19
1,952,0,1,46,15,5.252099991,0,47,16,18.72400093,7,12,5,1,8
1,1413,1,3,39,12,1.415400028,2.200000048,49,8,10.41699982,10,10,14,0,13
1,2100,0,2,44,12,4.798600197,4.849999905,43,14,8.8458004,7,0,11,1,16
1,120,2,0,33,12,1.666700006,2.369999886,36,12,7.568999767,12,12,9.5,1,11
1,3000,1,2,33,12,1.121700048,0,30,17,4.450699806,10,10,7.5,1,15
1,1000,0,2,48,12,0.5,0,52,12,9.320400238,12,7,9,1,6
1,336,0,4,31,12,0.714299977,0,37,17,9.168700218,7,7,11,0,13
1,1216,0,1,45,12,2.796099901,2.900000095,44,12,6.483399868,7,7,11,0,22
1,988,0,1,45,12,4.858300209,4.5,44,10,7.8125,7,3,5,1,24
1,2581,0,2,32,13,1.743499994,2.599999905,37,17,11.40400028,14,12,7.5,1,2
1,2030,0,0,47,12,2.463099957,2.799999952,47,17,5.086999893,7,7,3,0,6
1,413,0,2,34,13,2.421299934,3,35,13,6.975800037,12,12,3,0,2
1,782,0,1,37,12,1.534500003,2.299999952,34,10,5.286300182,12,7,9.5,1,2
1,1388,0,1,36,12,2.881799936,1.870000005,39,12,11.56200027,7,7,11,0,14
1,1450,1,2,47,12,2.406899929,3,50,14,8.606100082,7,10,9.5,1,9
1,1720,0,1,48,16,5.232600212,4.679999828,46,17,12.80500031,14,14,7.5,1,11
1,800,0,2,42,12,3.75,2.5,43,12,6.694600105,12,7,11,0,9
1,360,0,3,33,13,1.388900042,0,44,14,8.333299637,10,12,11,1,6
1,2000,0,0,46,11,4,4.610000134,53,8,4.166699886,7,7,5,0,19
1,1176,0,3,47,12,3.231300116,3.349999905,48,13,5.475900173,7,7,9.5,0,26
1,2058,0,1,44,12,3.401400089,3.799999952,43,10,5.144000053,7,10,9.5,1,19
1,900,0,4,36,12,1.333299994,2.200000048,37,17,11.66699982,7,7,7.5,1,3
1,215,2,0,31,17,9.302300453,9.979999542,32,16,7.291699886,12,12,7.5,1,7
1,2000,0,0,55,14,4.5,4.369999886,55,14,4.861100197,7,7,9.5,1,28
1,757,0,1,45,16,4.62349987,4.5,48,16,12.16399956,12,7,9.5,1,13
1,1264,0,0,47,17,3.955699921,0,48,17,10.82299995,10,17,9.5,1,9
1,2064,0,3,46,12,5.81400013,6,47,12,12.47799969,10,7,14,1,15
1,1280,0,0,49,11,0.5,0,52,9,6.162000179,7,7,7.5,1,20
1,1715,0,0,49,12,4.081600189,3.75,52,14,7.184599876,7,7,9.5,1,29
1,2000,0,2,45,12,6,4.949999809,49,6,7.092999935,7,10,14,1,9
1,12,1,3,38,17,3.666699886,0,38,13,17.82600021,12,10,14,1,1
